"DESKTOP-VQ7MEB2","\Microsoft\Windows\input\syncpensettings","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","COM ハンドラー","N/A","N/A","有効","無効","","INTERACTIVE","無効","00:01:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\input\TouchpadSyncDataAvailable","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","COM ハンドラー","N/A","N/A","有効","無効","","INTERACTIVE","無効","無効","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\InstallService\RestoreDevice","N/A","準備完了","対話型/バックグラウンド","2025/05/17 15:16:29","0","N/A","COM ハンドラー","N/A","N/A","有効","無効","バッテリ モードで停止, バッテリで開始しない","INTERACTIVE","無効","03:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\InstallService\ScanForUpdates","2025/07/26 11:19:19","準備完了","対話型/バックグラウンド","2025/07/25 8:14:23","0","N/A","COM ハンドラー","N/A","N/A","有効","無効","","SYSTEM","無効","04:00:00","スケジュール データをこの形式で使用することはできません。","一度だけ, 毎時 ","9:00:00","2014/01/01","N/A","N/A","N/A","24 時間、0 分","なし","無効","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\InstallService\ScanForUpdates","2025/07/26 11:29:06","準備完了","対話型/バックグラウンド","2025/07/25 8:14:23","0","N/A","COM ハンドラー","N/A","N/A","有効","無効","","SYSTEM","無効","04:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\InstallService\ScanForUpdates","2025/07/26 22:49:06","準備完了","対話型/バックグラウンド","2025/07/25 8:14:23","0","N/A","COM ハンドラー","N/A","N/A","有効","無効","","SYSTEM","無効","04:00:00","スケジュール データをこの形式で使用することはできません。","一度だけ","0:37:59","2025/06/12","N/A","N/A","N/A","無効","無効","無効","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\InstallService\ScanForUpdatesAsUser","N/A","準備完了","対話型/バックグラウンド","2025/07/25 19:45:56","0","N/A","COM ハンドラー","N/A","N/A","有効","無効","","INTERACTIVE","無効","04:00:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\InstallService\WakeUpAndContinueUpdates","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","COM ハンドラー","N/A","N/A","無効"," 分アイドルだった場合にのみ開始,  分アイドルでない場合再実行 アイドル状態が終了したらタスクを停止","バッテリ モードで停止, バッテリで開始しない","SYSTEM","無効","04:00:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\InstallService\WakeUpAndScanForUpdates","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","COM ハンドラー","N/A","N/A","無効"," 分アイドルだった場合にのみ開始,  分アイドルでない場合再実行 アイドル状態が終了したらタスクを停止","バッテリ モードで停止, バッテリで開始しない","SYSTEM","無効","04:00:00","スケジュール データをこの形式で使用することはできません。","一度だけ, 毎時 ","9:00:00","2014/01/01","N/A","N/A","N/A","24 時間、0 分","なし","無効","無効"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\International\Synchronize Language Settings","N/A","準備完了","対話型/バックグラウンド","2025/07/25 8:09:05","0","Microsoft Corporation","COM ハンドラー","N/A","Synchronize User Language Settings from other devices.","有効","無効","","INTERACTIVE","無効","00:10:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\International\Synchronize Language Settings","N/A","準備完了","対話型/バックグラウンド","2025/07/25 8:09:05","0","Microsoft Corporation","COM ハンドラー","N/A","Synchronize User Language Settings from other devices.","有効","無効","","INTERACTIVE","無効","00:10:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Kernel\La57Cleanup","N/A","準備完了","対話型/バックグラウンド","2025/07/22 20:10:49","0","Microsoft Corporation","%windir%\system32\la57setup.exe ","N/A","このタスクは、5 レベルのページングをサポートしていないシステム上の 5 レベルのページング バイナリをクリーンアップします。","有効","無効","バッテリで開始しない","SYSTEM","無効","00:05:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\LanguageComponentsInstaller\Installation","N/A","準備完了","対話型/バックグラウンド","2025/07/25 8:23:34","0","Microsoft Corporation","COM ハンドラー","N/A","ユーザーの言語リストに一致する言語コンポーネントをインストールします。","有効","無効","バッテリで開始しない","INTERACTIVE","無効","01:00:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\LanguageComponentsInstaller\ReconcileLanguageResources","N/A","準備完了","対話型/バックグラウンド","2025/07/25 10:08:34","0","Microsoft Corporation","COM ハンドラー","N/A","ユーザーの言語リストに一致する言語コンポーネントをインストールします。","有効","無効","バッテリで開始しない","INTERACTIVE","無効","01:00:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Location\Notifications","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","%windir%\System32\LocationNotificationWindows.exe ","N/A","$(@%systemRoot%\system32\LocationNotificationWindows.exe,-102)","有効","無効","","Authenticated Users","無効","無効","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Location\WindowsActionDialog","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","%windir%\System32\WindowsActionDialog.exe ","N/A","位置情報通知","有効","無効","","Authenticated Users","無効","無効","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Maintenance\WinSAT","N/A","準備完了","対話型/バックグラウンド","2025/07/24 8:54:29","0","Microsoft","COM ハンドラー","N/A","システムのパフォーマンスおよび性能を測定します","有効","無効","バッテリ モードで停止, バッテリで開始しない","Administrators","無効","00:30:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Management\Autopilot\DetectHardwareChange","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","$(@%SystemRoot%\system32\Autopilot.dll,-600)","COM ハンドラー","N/A","$(@%SystemRoot%\system32\Autopilot.dll,-602)","無効","無効","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Management\Autopilot\DetectHardwareChange","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","$(@%SystemRoot%\system32\Autopilot.dll,-600)","COM ハンドラー","N/A","$(@%SystemRoot%\system32\Autopilot.dll,-602)","無効","無効","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Management\Autopilot\RemediateHardwareChange","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","$(@%SystemRoot%\system32\Autopilot.dll,-600)","COM ハンドラー","N/A","$(@%SystemRoot%\system32\Autopilot.dll,-603)","無効","無効","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","システムの開始時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Management\Provisioning\Cellular","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","%windir%\system32\ProvTool.exe /turn 7 /source CellStateChangeTask","N/A","N/A","有効","無効","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Management\Provisioning\Logon","N/A","準備完了","対話型/バックグラウンド","2025/07/25 8:46:19","0","N/A","%windir%\system32\ProvTool.exe /turn 5 /source LogonIdleTask","N/A","N/A","有効"," 分アイドルだった場合にのみ開始,  分アイドルでない場合再実行 アイドル状態が終了したらタスクを停止","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Management\Provisioning\MdmDiagnosticsCleanup","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","%windir%\system32\MdmDiagnosticsTool.exe /clean","N/A","N/A","無効","無効","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","システムの開始時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Management\Provisioning\Retry","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","%windir%\system32\ProvTool.exe /turn 5 /source ProvRetryTask","N/A","N/A","無効","無効","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","システムの開始時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Management\Provisioning\RunOnReboot","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","%windir%\system32\ProvTool.exe /turn 5 /source ContinueSessionTask","N/A","N/A","無効","無効","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","システムの開始時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Maps\MapsToastTask","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","COM ハンドラー","N/A","This task shows various Map related toasts","有効","無効","","INTERACTIVE","無効","00:00:05","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Maps\MapsUpdateTask","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","COM ハンドラー","N/A","このタスクは、オフライン用にダウンロードした地図の更新データをチェックします。このタスクを無効にした場合、地図データの更新が通知されなくなります。","無効","無効","バッテリ モードで停止, バッテリで開始しない","NETWORK SERVICE","無効","00:00:40","スケジュール データをこの形式で使用することはできません。","一度だけ, 毎時 ","0:00:00","2014/10/21","N/A","N/A","N/A","24 時間、0 分","なし","無効","無効"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\MemoryDiagnostic\AutomaticOfflineMemoryDiagnostic","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","COM ハンドラー","N/A","システム イベントに応じてオフライン メモリ診断をスケジュールします。","無効","無効","バッテリ モードで停止, バッテリで開始しない","Administrators","無効","無効","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents","N/A","準備完了","対話型/バックグラウンド","2025/07/25 21:24:40","-2147020576","Microsoft Corporation","COM ハンドラー","N/A","システム イベントに応じてメモリ診断のスケジュールを設定します。","有効"," 分アイドルだった場合にのみ開始,  分アイドルでない場合再実行 アイドル状態が終了したらタスクを停止","バッテリ モードで停止, バッテリで開始しない","Administrators","無効","02:00:00","スケジュール データをこの形式で使用することはできません。","イベントが発生する場合","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents","N/A","準備完了","対話型/バックグラウンド","2025/07/25 21:24:40","-2147020576","Microsoft Corporation","COM ハンドラー","N/A","システム イベントに応じてメモリ診断のスケジュールを設定します。","有効"," 分アイドルだった場合にのみ開始,  分アイドルでない場合再実行 アイドル状態が終了したらタスクを停止","バッテリ モードで停止, バッテリで開始しない","Administrators","無効","02:00:00","スケジュール データをこの形式で使用することはできません。","イベントが発生する場合","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents","N/A","準備完了","対話型/バックグラウンド","2025/07/25 21:24:40","-2147020576","Microsoft Corporation","COM ハンドラー","N/A","システム イベントに応じてメモリ診断のスケジュールを設定します。","有効"," 分アイドルだった場合にのみ開始,  分アイドルでない場合再実行 アイドル状態が終了したらタスクを停止","バッテリ モードで停止, バッテリで開始しない","Administrators","無効","02:00:00","スケジュール データをこの形式で使用することはできません。","イベントが発生する場合","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents","N/A","準備完了","対話型/バックグラウンド","2025/07/25 21:24:40","-2147020576","Microsoft Corporation","COM ハンドラー","N/A","システム イベントに応じてメモリ診断のスケジュールを設定します。","有効"," 分アイドルだった場合にのみ開始,  分アイドルでない場合再実行 アイドル状態が終了したらタスクを停止","バッテリ モードで停止, バッテリで開始しない","Administrators","無効","02:00:00","スケジュール データをこの形式で使用することはできません。","イベントが発生する場合","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\MemoryDiagnostic\RunFullMemoryDiagnostic","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","COM ハンドラー","N/A","物理メモリ (RAM) 内の問題を検出して緩和します。","無効"," 分アイドルだった場合にのみ開始,  分アイドルでない場合再実行 アイドル状態が終了したらタスクを停止","バッテリ モードで停止, バッテリで開始しない","Administrators","無効","02:00:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Mobile Broadband Accounts\MNO Metadata Parser","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","$(@%SystemRoot%\system32\MbaeParserTask.exe,-1902)","%SystemRoot%\System32\MbaeParserTask.exe ","N/A","$(@%SystemRoot%\system32\MbaeParserTask.exe,-1903)","有効","無効","","SYSTEM","無効","00:03:00","スケジュール データをこの形式で使用することはできません。","イベントが発生する場合","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\MUI\LPRemove","N/A","準備完了","対話型/バックグラウンド","2025/07/25 19:45:56","0","Microsoft Corporation","%windir%\system32\lpremove.exe ","N/A","言語クリーンアップ ツールの起動","有効","無効","バッテリ モードで停止, バッテリで開始しない","SYSTEM","無効","09:00:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Multimedia\SystemSoundsService","N/A","実行中","対話型/バックグラウンド","2025/07/25 8:08:34","267009","N/A","COM ハンドラー","N/A","システム サウンド ユーザー モード エージェント","有効","無効","","Users","無効","無効","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Network Connectivity Status Indicator\NcsiIdentifyUserProxies","N/A","準備完了","対話型/バックグラウンド","2025/07/25 8:08:34","0","N/A","COM ハンドラー","N/A","N/A","有効","無効","","Users","無効","00:01:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Network Connectivity Status Indicator\NcsiIdentifyUserProxies","N/A","準備完了","対話型/バックグラウンド","2025/07/25 8:08:34","0","N/A","COM ハンドラー","N/A","N/A","有効","無効","","Users","無効","00:01:00","スケジュール データをこの形式で使用することはできません。","イベントが発生する場合","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Network Connectivity Status Indicator\NcsiIdentifyUserProxies","N/A","準備完了","対話型/バックグラウンド","2025/07/25 8:08:34","0","N/A","COM ハンドラー","N/A","N/A","有効","無効","","Users","無効","00:01:00","スケジュール データをこの形式で使用することはできません。","イベントが発生する場合","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\NlaSvc\WiFiTask","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","%SystemRoot%\System32\WiFiTask.exe nla","N/A","ユーザーと Web の対話ごとに実行されるバックグラウンド タスク","有効","無効","","INTERACTIVE","無効","00:10:00","スケジュール データをこの形式で使用することはできません。","未定義","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Offline Files\Background Synchronization","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","COM ハンドラー","N/A","このタスクは、ユーザーがオフライン モードで作業するときに、オフライン ファイルのバックグラウンドでの定期的な同期を制御します。","無効","無効","","Authenticated Users","無効","24:00:00","スケジュール データをこの形式で使用することはできません。","一度だけ, 毎時 ","0:00:00","2008/01/01","N/A","N/A","N/A","2 時間、0 分","なし","無効","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Offline Files\Logon Synchronization","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","COM ハンドラー","N/A","このタスクは、ユーザーがシステムにログオンするときにオフライン ファイルの同期を開始します。","無効","無効","バッテリ モードで停止, バッテリで開始しない","Authenticated Users","無効","24:00:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
